"lat","lon","fdate","mean_cpue","sum_KG","area"
7,65.25,"2016-01-01",0.188679245,100,"as"
3,68.5,"2016-01-07",0.375,120,"as"
9.5,68.75,"2016-01-08",0.2,40,"as"
9.25,68.75,"2016-01-11",0.3,180,"as"
4.25,63.75,"2016-01-13",0.333333333,180,"as"
9.25,68.75,"2016-01-13",0.1,71,"as"
2,63.25,"2016-01-16",0.5,250,"as"
2.75,68.5,"2016-01-16",0.2,80,"as"
9,68.75,"2016-01-16",0.3,98,"as"
3.25,68.25,"2016-01-17",3.333333333,400,"as"
3.5,68.25,"2016-01-17",0.5,160,"as"
1.25,50,"2016-01-18",0.5,200,"as"
3.5,68.25,"2016-01-18",1.666666667,250,"as"
3.75,68,"2016-01-18",0.25,80,"as"
1.75,69,"2016-01-19",0.333333333,150,"as"
3.5,68.25,"2016-01-19",4,300,"as"
2,68.25,"2016-01-20",0.5,200,"as"
2,68.25,"2016-01-20",0.5,120,"as"
3.5,68.25,"2016-01-20",0.125,40,"as"
8.25,68,"2016-01-20",0.8,400,"as"
8.75,68.5,"2016-01-20",4.5,180,"as"
8,68,"2016-01-21",0.3,120,"as"
8.25,68.25,"2016-01-21",0.4,110,"as"
9,68.5,"2016-01-21",0.711743772,500,"as"
2.75,68.25,"2016-01-22",0.375,140,"as"
3.25,68,"2016-01-22",0.125,50,"as"
5.25,65.75,"2016-01-22",0.2,180,"as"
7.25,64.5,"2016-01-22",0.625,40,"as"
8.75,68.5,"2016-01-22",0.416666667,200,"as"
9,68.5,"2016-01-22",1.067615658,800,"as"
2.25,66.25,"2016-01-23",0.1,39,"as"
2.75,68.25,"2016-01-23",0.5,200,"as"
3.25,68.25,"2016-01-23",0.125,40,"as"
7.25,64.5,"2016-01-23",0.375,100,"as"
8,67.75,"2016-01-23",0.4,200,"as"
8,68.25,"2016-01-23",0.4,160,"as"
8.25,68.25,"2016-01-23",0.3,90,"as"
10,67.25,"2016-01-23",0.943396226,250,"as"
3,68.5,"2016-01-24",0.625,180,"as"
4.5,68,"2016-01-24",1.333333333,400,"as"
6.75,64.5,"2016-01-24",0.25,80,"as"
7,64.75,"2016-01-24",2.166666667,1000,"as"
7.75,67.75,"2016-01-24",0.3,180,"as"
7.75,68,"2016-01-24",0.3,120,"as"
8.75,68.75,"2016-01-24",0.416666667,120,"as"
2.25,69,"2016-01-25",1.25,400,"as"
3.75,68.25,"2016-01-25",0.75,210,"as"
4.75,67,"2016-01-25",0.8,180,"as"
6.25,68.5,"2016-01-25",0.111111111,40,"as"
7.5,66.75,"2016-01-25",0.6,240,"as"
7.75,68,"2016-01-25",0.4,120,"as"
7.75,68,"2016-01-25",0.1,50,"as"
8.25,66.5,"2016-01-25",0.266903915,200,"as"
3.75,68,"2016-01-26",0.5,200,"as"
4.75,65,"2016-01-26",0.2,90,"as"
5.75,65.25,"2016-01-26",0.8,180,"as"
6.75,64,"2016-01-26",1.416666667,800,"as"
6.75,64.25,"2016-01-26",0.625,220,"as"
7.25,67.25,"2016-01-26",0.8,350,"as"
7.5,67.5,"2016-01-26",0.1,30,"as"
7.5,67.75,"2016-01-26",0.5,180,"as"
7.75,68,"2016-01-26",0.6,170,"as"
8.25,66.5,"2016-01-26",0.177935943,120,"as"
2.25,69,"2016-01-27",0.5,250,"as"
3.75,68,"2016-01-27",0.625,180,"as"
6.5,66.75,"2016-01-27",0.3,140,"as"
6.5,67,"2016-01-27",0.1,35,"as"
6.75,65.25,"2016-01-27",0.5,160,"as"
7.25,67.75,"2016-01-27",0.333333333,140,"as"
7.5,66.5,"2016-01-27",1.603773585,450,"as"
7.5,67.5,"2016-01-27",0.6,300,"as"
2,69.5,"2016-01-28",0.222222222,60,"as"
2.25,69,"2016-01-28",1.25,400,"as"
5.5,65,"2016-01-28",0.6,300,"as"
6.75,64,"2016-01-28",1.25,700,"as"
2.25,69,"2016-01-29",0.4,200,"as"
3.5,68,"2016-01-29",1.25,350,"as"
4.75,66.75,"2016-01-29",0.266666667,60,"as"
5.5,65,"2016-01-29",0.4,190,"as"
5.75,65.25,"2016-01-29",0.5,210,"as"
6.5,64,"2016-01-29",0.2,60,"as"
6.5,64,"2016-01-29",0.2,60,"as"
6.5,68.25,"2016-01-29",0.1,30,"as"
7,66.5,"2016-01-29",0.2,100,"as"
7.25,65.25,"2016-01-29",0.471698113,125,"as"
2,69.5,"2016-01-30",0.222222222,60,"as"
6,68.5,"2016-01-30",0.181818182,68,"as"
7.25,66.75,"2016-01-30",0.2,90,"as"
9.5,65.25,"2016-01-30",0.355871886,260,"as"
3.25,67.75,"2016-01-31",0.133333333,25,"as"
4,67.5,"2016-01-31",0.777777778,200,"as"
4.25,66.25,"2016-01-31",0.2,91,"as"
5.5,65.25,"2016-01-31",0.1,30,"as"
5.75,65.25,"2016-01-31",1,270,"as"
6,65.25,"2016-01-31",0.7,275,"as"
3.25,67.75,"2016-02-01",0.1,61,"as"
3.25,68.5,"2016-02-01",0.533333333,100,"as"
4.5,67,"2016-02-01",0.777777778,250,"as"
6.25,65.25,"2016-02-01",0.6,250,"as"
6.75,64.75,"2016-02-01",0.283018868,90,"as"
3.25,68.25,"2016-02-02",0.2,90,"as"
4.5,65.75,"2016-02-02",2.875,120,"as"
4.75,67,"2016-02-02",1.111111111,350,"as"
5,65,"2016-02-02",0.090909091,40,"as"
5,66.25,"2016-02-02",1,450,"as"
6.25,68.25,"2016-02-02",0.8,350,"as"
9,67.25,"2016-02-02",0.222222222,60,"as"
5,66.5,"2016-02-03",1,400,"as"
6,66.5,"2016-02-03",0.555555556,200,"as"
7,65.75,"2016-02-03",0.4,160,"as"
7.5,65.25,"2016-02-03",1,30,"as"
11.5,64.5,"2016-02-03",0.4,240,"as"
4.5,67.25,"2016-02-04",0.25,100,"as"
6,66.5,"2016-02-04",0.111111111,30,"as"
7.25,64.5,"2016-02-04",1,400,"as"
7.25,64.5,"2016-02-04",1,400,"as"
7.5,66.75,"2016-02-04",0.1,35,"as"
7.5,66.75,"2016-02-04",0.7,250,"as"
9,65.5,"2016-02-04",0.111111111,50,"as"
9,67,"2016-02-04",0.090909091,35,"as"
4.75,66.5,"2016-02-05",0.444444444,120,"as"
6.5,64.5,"2016-02-05",0.188679245,500,"as"
7.5,66.5,"2016-02-05",3,600,"as"
9,65,"2016-02-05",0.111111111,40,"as"
3.75,67.5,"2016-02-06",0.777777778,300,"as"
7.25,68.25,"2016-02-06",0.625,190,"as"
8.5,68.75,"2016-02-06",0.088967972,80,"as"
7.25,64.75,"2016-02-07",0.094339623,30,"as"
8.75,64.25,"2016-02-07",0.111111111,30,"as"
8.75,67.75,"2016-02-07",0.333333333,100,"as"
6.5,67.25,"2016-02-08",3,800,"as"
7.5,64.25,"2016-02-08",3,800,"as"
7.5,66.25,"2016-02-08",0.454545455,200,"as"
8,66,"2016-02-08",0.090909091,30,"as"
8.75,68.75,"2016-02-08",0.444444444,150,"as"
7.25,66.25,"2016-02-09",0.181818182,80,"as"
8.75,64,"2016-02-09",0.111111111,40,"as"
7.25,66.5,"2016-02-11",0.9,275,"as"
7.5,68.25,"2016-02-11",0.25,80,"as"
7.25,66.75,"2016-02-12",1.428571429,250,"as"
2,69.25,"2016-02-13",0.333333333,75,"as"
2,69.5,"2016-02-13",0.522875817,160,"as"
3.25,68,"2016-02-13",0.2,90,"as"
6.75,64.5,"2016-02-13",1.698113208,450,"as"
7,66.75,"2016-02-13",1.098901099,250,"as"
7,69,"2016-02-13",0.727272727,32,"as"
2.25,69,"2016-02-14",0.222222222,60,"as"
2.25,69,"2016-02-14",0.625,340,"as"
7.5,68.25,"2016-02-14",0.5,210,"as"
8.75,65.75,"2016-02-14",0.111111111,40,"as"
9,66.5,"2016-02-14",0.7,180,"as"
2.75,68.75,"2016-02-15",0.222222222,60,"as"
3,69,"2016-02-15",0.25,120,"as"
9.5,66.5,"2016-02-15",0.4,140,"as"
11.25,66.5,"2016-02-15",0.211640212,40,"as"
11.25,66.5,"2016-02-15",0.133333333,30,"as"
4,68,"2016-02-16",0.555555556,150,"as"
4.75,64.75,"2016-02-16",0.173913043,75,"as"
6.5,65.75,"2016-02-16",0.5,320,"as"
9.25,66.5,"2016-02-16",0.4,180,"as"
6.75,64.75,"2016-02-17",0.283018868,80,"as"
11.25,66.25,"2016-02-17",0.3,70,"as"
4,68.25,"2016-02-18",0.375,180,"as"
5.5,63,"2016-02-18",0.32967033,90,"as"
6,62,"2016-02-18",1.648351648,450,"as"
6,67,"2016-02-18",0.5,300,"as"
6.5,67.25,"2016-02-18",0.111111111,50,"as"
7.5,62,"2016-02-18",0.317460317,120,"as"
8.25,66.75,"2016-02-18",0.1,25,"as"
3,65,"2016-02-19",0.210526316,70,"as"
3.5,68.25,"2016-02-19",0.222222222,50,"as"
3.5,68.5,"2016-02-19",0.375,200,"as"
7.5,62,"2016-02-19",0.7,160,"as"
7.75,67,"2016-02-19",0.4,120,"as"
